Entity,Code,Year,Low-carbon energy (% sub energy)
Argentina,ARG,2005,16.366
Argentina,ARG,2006,17.313
Argentina,ARG,2007,14.503
Argentina,ARG,2008,14.079
Argentina,ARG,2009,15.623
Argentina,ARG,2010,15.148
Argentina,ARG,2011,14.652
Argentina,ARG,2012,13.797
Argentina,ARG,2013,14.263
Argentina,ARG,2014,14.332
Argentina,ARG,2015,14.701
Argentina,ARG,2016,14.066
Argentina,ARG,2017,14.674
Argentina,ARG,2018,15.099
Argentina,ARG,2019,15.729
Australia,AUS,1965,5.472
Australia,AUS,1966,4.766
Australia,AUS,1967,4.651
Australia,AUS,1968,4.572
Australia,AUS,1969,4.782
Australia,AUS,1970,5.1
Australia,AUS,1971,5.48
Australia,AUS,1972,5.268
Australia,AUS,1973,5.257
Australia,AUS,1974,5.602
Australia,AUS,1975,5.924
Australia,AUS,1976,5.448
Australia,AUS,1977,4.955
Australia,AUS,1978,5.218
Australia,AUS,1979,4.881
Australia,AUS,1980,4.58
Australia,AUS,1981,4.68
Australia,AUS,1982,4.36
Australia,AUS,1983,4.111
Australia,AUS,1984,4.257
Australia,AUS,1985,4.482
Australia,AUS,1986,4.363
Australia,AUS,1987,4.131
Australia,AUS,1988,4.223
Australia,AUS,1989,4.028
Australia,AUS,1990,4.078
Australia,AUS,1991,4.331
Australia,AUS,1992,4.352
Australia,AUS,1993,4.346
Australia,AUS,1994,4.129
Australia,AUS,1995,3.931
Australia,AUS,1996,3.942
Australia,AUS,1997,3.854
Australia,AUS,1998,3.754
Australia,AUS,1999,3.717
Australia,AUS,2000,3.709
Australia,AUS,2001,3.594
Australia,AUS,2002,3.659
Australia,AUS,2003,3.725
Australia,AUS,2004,3.716
Australia,AUS,2005,3.971
Australia,AUS,2006,3.854
Australia,AUS,2007,3.81
Australia,AUS,2008,3.852
Australia,AUS,2009,4.311
Australia,AUS,2010,5.037
Australia,AUS,2011,6.293
Australia,AUS,2012,6.141
Australia,AUS,2013,6.86
Australia,AUS,2014,6.244
Australia,AUS,2015,6.504
Australia,AUS,2016,7.207
Australia,AUS,2017,6.885
Australia,AUS,2018,8.353
Australia,AUS,2019,8.567
Austria,AUT,1965,23.94
Austria,AUT,1966,24.66
Austria,AUT,1967,24.931
Austria,AUT,1968,23.942
Austria,AUT,1969,21.212
Austria,AUT,1970,23.624
Austria,AUT,1971,18.684
Austria,AUT,1972,18.56
Austria,AUT,1973,19.189
Austria,AUT,1974,22.621
Austria,AUT,1975,23.879
Austria,AUT,1976,19.89
Austria,AUT,1977,24.109
Austria,AUT,1978,23.115
Austria,AUT,1979,24.606
Austria,AUT,1980,25.617
Austria,AUT,1981,28.003
Austria,AUT,1982,29.015
Austria,AUT,1983,28.818
Austria,AUT,1984,25.484
Austria,AUT,1985,27.82
Austria,AUT,1986,28.812
Austria,AUT,1987,30.802
Austria,AUT,1988,31.323
Austria,AUT,1989,31.002
Austria,AUT,1990,27.545
Austria,AUT,1991,26.257
Austria,AUT,1992,29.605
Austria,AUT,1993,30.632
Austria,AUT,1994,29.87
Austria,AUT,1995,30.057
Austria,AUT,1996,27.57
Austria,AUT,1997,28.553
Austria,AUT,1998,29.015
Austria,AUT,1999,30.802
Austria,AUT,2000,31.496
Austria,AUT,2001,29.389
Austria,AUT,2002,28.903
Austria,AUT,2003,23.867
Austria,AUT,2004,26.262
Austria,AUT,2005,26.547
Austria,AUT,2006,27.137
Austria,AUT,2007,29.405
Austria,AUT,2008,29.831
Austria,AUT,2009,32.67
Austria,AUT,2010,29.984
Austria,AUT,2011,29.073
Austria,AUT,2012,34.142
Austria,AUT,2013,33.477
Austria,AUT,2014,34.771
Austria,AUT,2015,33.107
Austria,AUT,2016,33.768
Austria,AUT,2017,32.71
Austria,AUT,2018,32.566
Austria,AUT,2019,33.702
Azerbaijan,AZE,1985,1.555
Azerbaijan,AZE,1986,0.885
Azerbaijan,AZE,1987,0.913
Azerbaijan,AZE,1988,0.792
Azerbaijan,AZE,1989,0.777
Azerbaijan,AZE,1990,1.771
Azerbaijan,AZE,1991,1.956
Azerbaijan,AZE,1992,2.269
Azerbaijan,AZE,1993,3.635
Azerbaijan,AZE,1994,2.983
Azerbaijan,AZE,1995,2.697
Azerbaijan,AZE,1996,3.25
Azerbaijan,AZE,1997,3.781
Azerbaijan,AZE,1998,4.294
Azerbaijan,AZE,1999,3.327
Azerbaijan,AZE,2000,3.246
Azerbaijan,AZE,2001,2.837
Azerbaijan,AZE,2002,4.433
Azerbaijan,AZE,2003,4.979
Azerbaijan,AZE,2004,4.866
Azerbaijan,AZE,2005,4.872
Azerbaijan,AZE,2006,4.117
Azerbaijan,AZE,2007,4.246
Azerbaijan,AZE,2008,3.945
Azerbaijan,AZE,2009,4.594
Azerbaijan,AZE,2010,6.906
Azerbaijan,AZE,2011,4.79
Azerbaijan,AZE,2012,3.145
Azerbaijan,AZE,2013,2.601
Azerbaijan,AZE,2014,2.265
Azerbaijan,AZE,2015,2.571
Azerbaijan,AZE,2016,3.125
Azerbaijan,AZE,2017,2.845
Azerbaijan,AZE,2018,2.865
Azerbaijan,AZE,2019,2.48
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,3.06
Bangladesh,BGD,1973,4.686
Bangladesh,BGD,1974,3.329
Bangladesh,BGD,1975,5.262
Bangladesh,BGD,1976,5.196
Bangladesh,BGD,1977,4.478
Bangladesh,BGD,1978,4.811
Bangladesh,BGD,1979,5.039
Bangladesh,BGD,1980,4.44
Bangladesh,BGD,1981,4.727
Bangladesh,BGD,1982,3.583
Bangladesh,BGD,1983,4.589
Bangladesh,BGD,1984,5.757
Bangladesh,BGD,1985,4.264
Bangladesh,BGD,1986,2.383
Bangladesh,BGD,1987,2.481
Bangladesh,BGD,1988,2.909
Bangladesh,BGD,1989,3.68
Bangladesh,BGD,1990,3.332
Bangladesh,BGD,1991,3.274
Bangladesh,BGD,1992,2.851
Bangladesh,BGD,1993,1.979
Bangladesh,BGD,1994,2.599
Bangladesh,BGD,1995,0.965
Bangladesh,BGD,1996,1.832
Bangladesh,BGD,1997,1.696
Bangladesh,BGD,1998,1.916
Bangladesh,BGD,1999,1.824
Bangladesh,BGD,2000,1.53
Bangladesh,BGD,2001,1.763
Bangladesh,BGD,2002,1.281
Bangladesh,BGD,2003,1.202
Bangladesh,BGD,2004,1.156
Bangladesh,BGD,2005,1.067
Bangladesh,BGD,2006,0.984
Bangladesh,BGD,2007,0.959
Bangladesh,BGD,2008,1.149
Bangladesh,BGD,2009,0.481
Bangladesh,BGD,2010,0.813
Bangladesh,BGD,2011,0.894
Bangladesh,BGD,2012,0.775
Bangladesh,BGD,2013,0.74
Bangladesh,BGD,2014,0.605
Bangladesh,BGD,2015,0.762
Bangladesh,BGD,2016,0.748
Bangladesh,BGD,2017,0.851
Bangladesh,BGD,2018,0.71
Bangladesh,BGD,2019,0.637
Belarus,BLR,1985,0.014
Belarus,BLR,1986,0.012
Belarus,BLR,1987,0.012
Belarus,BLR,1988,0.012
Belarus,BLR,1989,0.012
Belarus,BLR,1990,0.012
Belarus,BLR,1991,0.011
Belarus,BLR,1992,0.011
Belarus,BLR,1993,0.016
Belarus,BLR,1994,0.019
Belarus,BLR,1995,0.022
Belarus,BLR,1996,0.017
Belarus,BLR,1997,0.022
Belarus,BLR,1998,0.03
Belarus,BLR,1999,0.021
Belarus,BLR,2000,0.029
Belarus,BLR,2001,0.033
Belarus,BLR,2002,0.031
Belarus,BLR,2003,0.03
Belarus,BLR,2004,0.032
Belarus,BLR,2005,0.035
Belarus,BLR,2006,0.033
Belarus,BLR,2007,0.045
Belarus,BLR,2008,0.064
Belarus,BLR,2009,0.098
Belarus,BLR,2010,0.112
Belarus,BLR,2011,0.121
Belarus,BLR,2012,0.137
Belarus,BLR,2013,0.204
Belarus,BLR,2014,0.181
Belarus,BLR,2015,0.238
Belarus,BLR,2016,0.315
Belarus,BLR,2017,0.638
Belarus,BLR,2018,0.555
Belarus,BLR,2019,0.56
Belgium,BEL,1965,0.183
Belgium,BEL,1966,0.213
Belgium,BEL,1967,0.221
Belgium,BEL,1968,0.182
Belgium,BEL,1969,0.137
Belgium,BEL,1970,0.156
Belgium,BEL,1971,0.07
Belgium,BEL,1972,0.094
Belgium,BEL,1973,0.177
Belgium,BEL,1974,0.25
Belgium,BEL,1975,3.784
Belgium,BEL,1976,5.163
Belgium,BEL,1977,6.271
Belgium,BEL,1978,6.291
Belgium,BEL,1979,5.625
Belgium,BEL,1980,6.452
Belgium,BEL,1981,6.995
Belgium,BEL,1982,8.672
Belgium,BEL,1983,13.661
Belgium,BEL,1984,15.028
Belgium,BEL,1985,17.9
Belgium,BEL,1986,19.796
Belgium,BEL,1987,20.516
Belgium,BEL,1988,20.638
Belgium,BEL,1989,19.577
Belgium,BEL,1990,19.164
Belgium,BEL,1991,18.576
Belgium,BEL,1992,18.934
Belgium,BEL,1993,18.525
Belgium,BEL,1994,17.049
Belgium,BEL,1995,17.228
Belgium,BEL,1996,16.928
Belgium,BEL,1997,18.339
Belgium,BEL,1998,17.576
Belgium,BEL,1999,18.833
Belgium,BEL,2000,18.17
Belgium,BEL,2001,17.543
Belgium,BEL,2002,17.897
Belgium,BEL,2003,17.161
Belgium,BEL,2004,17.077
Belgium,BEL,2005,17.481
Belgium,BEL,2006,17.298
Belgium,BEL,2007,17.815
Belgium,BEL,2008,16.824
Belgium,BEL,2009,19.064
Belgium,BEL,2010,18.729
Belgium,BEL,2011,20.743
Belgium,BEL,2012,19.29
Belgium,BEL,2013,19.963
Belgium,BEL,2014,18.239
Belgium,BEL,2015,15.612
Belgium,BEL,2016,20.639
Belgium,BEL,2017,20.422
Belgium,BEL,2018,16.573
Belgium,BEL,2019,21.316
Brazil,BRA,1965,26.319
Brazil,BRA,1966,26.386
Brazil,BRA,1967,26.641
Brazil,BRA,1968,24.385
Brazil,BRA,1969,23.901
Brazil,BRA,1970,25.423
Brazil,BRA,1971,25.274
Brazil,BRA,1972,25.726
Brazil,BRA,1973,24.618
Brazil,BRA,1974,25.542
Brazil,BRA,1975,26.609
Brazil,BRA,1976,27.747
Brazil,BRA,1977,29.318
Brazil,BRA,1978,29.268
Brazil,BRA,1979,30.743
Brazil,BRA,1980,33.278
Brazil,BRA,1981,34.638
Brazil,BRA,1982,35.656
Brazil,BRA,1983,37.685
Brazil,BRA,1984,38.878
Brazil,BRA,1985,39.442
Brazil,BRA,1986,37.178
Brazil,BRA,1987,36.951
Brazil,BRA,1988,38.007
Brazil,BRA,1989,38.52
Brazil,BRA,1990,44.277
Brazil,BRA,1991,44.699
Brazil,BRA,1992,43.778
Brazil,BRA,1993,43.799
Brazil,BRA,1994,43.146
Brazil,BRA,1995,43.299
Brazil,BRA,1996,42.997
Brazil,BRA,1997,42.483
Brazil,BRA,1998,42.555
Brazil,BRA,1999,42.209
Brazil,BRA,2000,42.61
Brazil,BRA,2001,39.619
Brazil,BRA,2002,41.172
Brazil,BRA,2003,42.534
Brazil,BRA,2004,42.228
Brazil,BRA,2005,42.837
Brazil,BRA,2006,43.093
Brazil,BRA,2007,44.215
Brazil,BRA,2008,43.335
Brazil,BRA,2009,46.172
Brazil,BRA,2010,44.109
Brazil,BRA,2011,43.723
Brazil,BRA,2012,41.901
Brazil,BRA,2013,39.524
Brazil,BRA,2014,38.534
Brazil,BRA,2015,39.729
Brazil,BRA,2016,42.672
Brazil,BRA,2017,42.324
Brazil,BRA,2018,44.946
Brazil,BRA,2019,46.178
Bulgaria,BGR,1965,4.646
Bulgaria,BGR,1966,4.355
Bulgaria,BGR,1967,3.77
Bulgaria,BGR,1968,2.175
Bulgaria,BGR,1969,2.75
Bulgaria,BGR,1970,2.861
Bulgaria,BGR,1971,2.77
Bulgaria,BGR,1972,2.599
Bulgaria,BGR,1973,3.069
Bulgaria,BGR,1974,3.487
Bulgaria,BGR,1975,5.254
Bulgaria,BGR,1976,7.875
Bulgaria,BGR,1977,8.859
Bulgaria,BGR,1978,8.012
Bulgaria,BGR,1979,8.309
Bulgaria,BGR,1980,8.192
Bulgaria,BGR,1981,10.727
Bulgaria,BGR,1982,11.34
Bulgaria,BGR,1983,12.8
Bulgaria,BGR,1984,13.141
Bulgaria,BGR,1985,12.717
Bulgaria,BGR,1986,11.676
Bulgaria,BGR,1987,12.052
Bulgaria,BGR,1988,14.659
Bulgaria,BGR,1989,13.699
Bulgaria,BGR,1990,14.236
Bulgaria,BGR,1991,16.559
Bulgaria,BGR,1992,15.373
Bulgaria,BGR,1993,16.906
Bulgaria,BGR,1994,18.548
Bulgaria,BGR,1995,20.13
Bulgaria,BGR,1996,21.603
Bulgaria,BGR,1997,22.334
Bulgaria,BGR,1998,22.667
Bulgaria,BGR,1999,24.049
Bulgaria,BGR,2000,26.848
Bulgaria,BGR,2001,26.127
Bulgaria,BGR,2002,28.127
Bulgaria,BGR,2003,24.585
Bulgaria,BGR,2004,24.808
Bulgaria,BGR,2005,26.245
Bulgaria,BGR,2006,26.299
Bulgaria,BGR,2007,19.951
Bulgaria,BGR,2008,21.487
Bulgaria,BGR,2009,24.655
Bulgaria,BGR,2010,26.125
Bulgaria,BGR,2011,23.494
Bulgaria,BGR,2012,25.621
Bulgaria,BGR,2013,27.522
Bulgaria,BGR,2014,28.336
Bulgaria,BGR,2015,27.48
Bulgaria,BGR,2016,27.344
Bulgaria,BGR,2017,25.195
Bulgaria,BGR,2018,29.446
Bulgaria,BGR,2019,28.972
Canada,CAN,1965,24.007
Canada,CAN,1966,25.037
Canada,CAN,1967,24.466
Canada,CAN,1968,23.495
Canada,CAN,1969,24.437
Canada,CAN,1970,24.028
Canada,CAN,1971,24.404
Canada,CAN,1972,25.699
Canada,CAN,1973,26.714
Canada,CAN,1974,27.825
Canada,CAN,1975,27.028
Canada,CAN,1976,27.347
Canada,CAN,1977,27.703
Canada,CAN,1978,29.554
Canada,CAN,1979,30.1
Canada,CAN,1980,30.519
Canada,CAN,1981,32.733
Canada,CAN,1982,32.811
Canada,CAN,1983,35.071
Canada,CAN,1984,35.43
Canada,CAN,1985,36.876
Canada,CAN,1986,38.584
Canada,CAN,1987,38.469
Canada,CAN,1988,36.681
Canada,CAN,1989,34.51
Canada,CAN,1990,35.04
Canada,CAN,1991,37.178
Canada,CAN,1992,36.652
Canada,CAN,1993,37.705
Canada,CAN,1994,38.118
Canada,CAN,1995,37.126
Canada,CAN,1996,37.434
Canada,CAN,1997,35.885
Canada,CAN,1998,34.07
Canada,CAN,1999,34.318
Canada,CAN,2000,34.216
Canada,CAN,2001,33.207
Canada,CAN,2002,33.314
Canada,CAN,2003,31.885
Canada,CAN,2004,32.671
Canada,CAN,2005,33.977
Canada,CAN,2006,34.161
Canada,CAN,2007,33.594
Canada,CAN,2008,34.437
Canada,CAN,2009,35.408
Canada,CAN,2010,33.518
Canada,CAN,2011,33.98
Canada,CAN,2012,34.737
Canada,CAN,2013,34.929
Canada,CAN,2014,34.091
Canada,CAN,2015,34.581
Canada,CAN,2016,35.084
Canada,CAN,2017,35.073
Canada,CAN,2018,33.807
Canada,CAN,2019,33.94
Chile,CHL,1965,15.188
Chile,CHL,1966,14.933
Chile,CHL,1967,14.953
Chile,CHL,1968,12.559
Chile,CHL,1969,13.163
Chile,CHL,1970,13.348
Chile,CHL,1971,13.976
Chile,CHL,1972,16.069
Chile,CHL,1973,16.302
Chile,CHL,1974,18.711
Chile,CHL,1975,20.872
Chile,CHL,1976,20.57
Chile,CHL,1977,20.955
Chile,CHL,1978,20.615
Chile,CHL,1979,20.492
Chile,CHL,1980,20.987
Chile,CHL,1981,21.182
Chile,CHL,1982,25.364
Chile,CHL,1983,26.791
Chile,CHL,1984,26.531
Chile,CHL,1985,28.964
Chile,CHL,1986,29.801
Chile,CHL,1987,30.713
Chile,CHL,1988,27.069
Chile,CHL,1989,20.687
Chile,CHL,1990,17.902
Chile,CHL,1991,22.858
Chile,CHL,1992,26.955
Chile,CHL,1993,26.158
Chile,CHL,1994,24.631
Chile,CHL,1995,24.706
Chile,CHL,1996,21.354
Chile,CHL,1997,20.749
Chile,CHL,1998,17.076
Chile,CHL,1999,14.39
Chile,CHL,2000,18.527
Chile,CHL,2001,20.889
Chile,CHL,2002,21.43
Chile,CHL,2003,20.841
Chile,CHL,2004,18.651
Chile,CHL,2005,21.221
Chile,CHL,2006,21.394
Chile,CHL,2007,17.573
Chile,CHL,2008,19.625
Chile,CHL,2009,20.457
Chile,CHL,2010,18.015
Chile,CHL,2011,16.253
Chile,CHL,2012,16.677
Chile,CHL,2013,16.909
Chile,CHL,2014,18.754
Chile,CHL,2015,19.894
Chile,CHL,2016,18.129
Chile,CHL,2017,20.678
Chile,CHL,2018,22.214
Chile,CHL,2019,22.851
China,CHN,1965,4.006
China,CHN,1966,3.751
China,CHN,1967,3.595
China,CHN,1968,4.2
China,CHN,1969,3.509
China,CHN,1970,2.832
China,CHN,1971,2.89
China,CHN,1972,3.038
China,CHN,1973,3.217
China,CHN,1974,3.53
China,CHN,1975,3.298
China,CHN,1976,3.175
China,CHN,1977,3.039
China,CHN,1978,2.597
China,CHN,1979,2.832
China,CHN,1980,3.33
China,CHN,1981,3.798
China,CHN,1982,4.132
China,CHN,1983,4.509
China,CHN,1984,4.221
China,CHN,1985,4.154
China,CHN,1986,4.056
China,CHN,1987,3.979
China,CHN,1988,4.043
China,CHN,1989,4.179
China,CHN,1990,4.418
China,CHN,1991,4.138
China,CHN,1992,4.124
China,CHN,1993,4.498
China,CHN,1994,5.043
China,CHN,1995,5.535
China,CHN,1996,5.182
China,CHN,1997,5.389
China,CHN,1998,5.445
China,CHN,1999,5.229
China,CHN,2000,5.707
China,CHN,2001,6.607
China,CHN,2002,6.4
China,CHN,2003,5.712
China,CHN,2004,6.003
China,CHN,2005,5.899
China,CHN,2006,5.869
China,CHN,2007,6.029
China,CHN,2008,7.522
China,CHN,2009,7.178
China,CHN,2010,7.813
China,CHN,2011,7.359
China,CHN,2012,8.773
China,CHN,2013,9.234
China,CHN,2014,10.602
China,CHN,2015,11.433
China,CHN,2016,12.454
China,CHN,2017,13.249
China,CHN,2018,14.12
China,CHN,2019,14.858
Colombia,COL,1965,11.153
Colombia,COL,1966,11.372
Colombia,COL,1967,11.908
Colombia,COL,1968,12.596
Colombia,COL,1969,13.767
Colombia,COL,1970,14.046
Colombia,COL,1971,15.166
Colombia,COL,1972,14.955
Colombia,COL,1973,16.299
Colombia,COL,1974,16.515
Colombia,COL,1975,18.26
Colombia,COL,1976,18.425
Colombia,COL,1977,18.388
Colombia,COL,1978,19.828
Colombia,COL,1979,20.486
Colombia,COL,1980,21.934
Colombia,COL,1981,21.138
Colombia,COL,1982,21.599
Colombia,COL,1983,20.724
Colombia,COL,1984,22.51
Colombia,COL,1985,23.286
Colombia,COL,1986,26.035
Colombia,COL,1987,26.07
Colombia,COL,1988,27.467
Colombia,COL,1989,28.487
Colombia,COL,1990,31.265
Colombia,COL,1991,30.346
Colombia,COL,1992,23.443
Colombia,COL,1993,26.587
Colombia,COL,1994,28.496
Colombia,COL,1995,28.029
Colombia,COL,1996,30.12
Colombia,COL,1997,26.136
Colombia,COL,1998,25.46
Colombia,COL,1999,30.026
Colombia,COL,2000,28.246
Colombia,COL,2001,29.265
Colombia,COL,2002,31.303
Colombia,COL,2003,31.974
Colombia,COL,2004,33.075
Colombia,COL,2005,33.583
Colombia,COL,2006,32.301
Colombia,COL,2007,33.22
Colombia,COL,2008,31.887
Colombia,COL,2009,29.811
Colombia,COL,2010,27.582
Colombia,COL,2011,31.337
Colombia,COL,2012,28.681
Colombia,COL,2013,26.213
Colombia,COL,2014,25.133
Colombia,COL,2015,24.863
Colombia,COL,2016,24.545
Colombia,COL,2017,29.111
Colombia,COL,2018,28.494
Colombia,COL,2019,24.986
Croatia,HRV,1990,10.594
Croatia,HRV,1991,19.505
Croatia,HRV,1992,15.171
Croatia,HRV,1993,15.257
Croatia,HRV,1994,18.017
Croatia,HRV,1995,18.199
Croatia,HRV,1996,23.558
Croatia,HRV,1997,17.619
Croatia,HRV,1998,17.146
Croatia,HRV,1999,20.201
Croatia,HRV,2000,18.794
Croatia,HRV,2001,19.77
Croatia,HRV,2002,15.95
Croatia,HRV,2003,14.113
Croatia,HRV,2004,18.92
Croatia,HRV,2005,17.575
Croatia,HRV,2006,16.636
Croatia,HRV,2007,11.702
Croatia,HRV,2008,14.431
Croatia,HRV,2009,18.668
Croatia,HRV,2010,22.724
Croatia,HRV,2011,14.652
Croatia,HRV,2012,15.637
Croatia,HRV,2013,25.134
Croatia,HRV,2014,26.817
Croatia,HRV,2015,21.189
Croatia,HRV,2016,22.58
Croatia,HRV,2017,19.055
Croatia,HRV,2018,24.868
Croatia,HRV,2019,21.537
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.007
Cyprus,CYP,2005,0.007
Cyprus,CYP,2006,0.012
Cyprus,CYP,2007,0.026
Cyprus,CYP,2008,0.113
Cyprus,CYP,2009,0.235
Cyprus,CYP,2010,0.559
Cyprus,CYP,2011,1.37
Cyprus,CYP,2012,2.099
Cyprus,CYP,2013,2.969
Cyprus,CYP,2014,2.868
Cyprus,CYP,2015,3.476
Cyprus,CYP,2016,3.375
Cyprus,CYP,2017,3.348
Cyprus,CYP,2018,3.562
Cyprus,CYP,2019,3.926
Czechia,CZE,1965,1.324
Czechia,CZE,1966,1.238
Czechia,CZE,1967,1.134
Czechia,CZE,1968,0.841
Czechia,CZE,1969,0.658
Czechia,CZE,1970,0.902
Czechia,CZE,1971,0.606
Czechia,CZE,1972,0.631
Czechia,CZE,1973,0.536
Czechia,CZE,1974,0.893
Czechia,CZE,1975,0.856
Czechia,CZE,1976,0.663
Czechia,CZE,1977,0.874
Czechia,CZE,1978,0.802
Czechia,CZE,1979,0.994
Czechia,CZE,1980,1.074
Czechia,CZE,1981,0.93
Czechia,CZE,1982,0.762
Czechia,CZE,1983,0.845
Czechia,CZE,1984,1.119
Czechia,CZE,1985,1.791
Czechia,CZE,1986,3.495
Czechia,CZE,1987,5.608
Czechia,CZE,1988,5.901
Czechia,CZE,1989,6.151
Czechia,CZE,1990,6.996
Czechia,CZE,1991,7.394
Czechia,CZE,1992,7.868
Czechia,CZE,1993,8.261
Czechia,CZE,1994,8.803
