Entity,Code,Year,(Percentage)
Argentina,ARG,2000,47.071
Argentina,ARG,2001,44.557
Argentina,ARG,2002,45.567
Argentina,ARG,2003,48.521
Argentina,ARG,2004,50.421
Argentina,ARG,2005,50.464
Argentina,ARG,2006,49.695
Argentina,ARG,2007,50.008
Argentina,ARG,2008,49.719
Argentina,ARG,2009,49.109
Argentina,ARG,2010,46.95
Argentina,ARG,2011,47.984
Argentina,ARG,2012,48.595
Argentina,ARG,2013,47.013
Argentina,ARG,2014,47.381
Argentina,ARG,2015,46.837
Argentina,ARG,2016,48.531
Argentina,ARG,2017,48.748
Argentina,ARG,2018,49.518
Argentina,ARG,2019,49.373
Australia,AUS,1965,0.007
Australia,AUS,1966,0.009
Australia,AUS,1967,0.008
Australia,AUS,1968,0.061
Australia,AUS,1969,0.792
Australia,AUS,1970,3.046
Australia,AUS,1971,4.329
Australia,AUS,1972,5.942
Australia,AUS,1973,7.057
Australia,AUS,1974,7.572
Australia,AUS,1975,7.998
Australia,AUS,1976,9.121
Australia,AUS,1977,9.928
Australia,AUS,1978,10.429
Australia,AUS,1979,11.549
Australia,AUS,1980,13.173
Australia,AUS,1981,14.16
Australia,AUS,1982,13.819
Australia,AUS,1983,14.979
Australia,AUS,1984,14.154
Australia,AUS,1985,15.015
Australia,AUS,1986,15.865
Australia,AUS,1987,15.776
Australia,AUS,1988,15.438
Australia,AUS,1989,16.063
Australia,AUS,1990,15.869
Australia,AUS,1991,15.31
Australia,AUS,1992,15.68
Australia,AUS,1993,15.806
Australia,AUS,1994,16.881
Australia,AUS,1995,16.603
Australia,AUS,1996,16.313
Australia,AUS,1997,15.623
Australia,AUS,1998,15.718
Australia,AUS,1999,15.425
Australia,AUS,2000,15.649
Australia,AUS,2001,16.724
Australia,AUS,2002,16.959
Australia,AUS,2003,16.839
Australia,AUS,2004,16.623
Australia,AUS,2005,16.549
Australia,AUS,2006,17.407
Australia,AUS,2007,19.226
Australia,AUS,2008,18.598
Australia,AUS,2009,19.152
Australia,AUS,2010,22.123
Australia,AUS,2011,22.299
Australia,AUS,2012,22.643
Australia,AUS,2013,23.606
Australia,AUS,2014,25.103
Australia,AUS,2015,25.97
Australia,AUS,2016,25.535
Australia,AUS,2017,25.289
Australia,AUS,2018,24.873
Australia,AUS,2019,30.184
Austria,AUT,1965,9.393
Austria,AUT,1966,9.641
Austria,AUT,1967,9.144
Austria,AUT,1968,9.114
Austria,AUT,1969,10.656
Austria,AUT,1970,11.304
Austria,AUT,1971,12.999
Austria,AUT,1972,13.578
Austria,AUT,1973,13.886
Austria,AUT,1974,15.007
Austria,AUT,1975,15.102
Austria,AUT,1976,16.577
Austria,AUT,1977,16.898
Austria,AUT,1978,16.838
Austria,AUT,1979,15.777
Austria,AUT,1980,15.23
Austria,AUT,1981,14.976
Austria,AUT,1982,14.996
Austria,AUT,1983,15.341
Austria,AUT,1984,17.218
Austria,AUT,1985,17.571
Austria,AUT,1986,16.89
Austria,AUT,1987,16.708
Austria,AUT,1988,16.25
Austria,AUT,1989,17.352
Austria,AUT,1990,18.794
Austria,AUT,1991,18.982
Austria,AUT,1992,18.979
Austria,AUT,1993,19.625
Austria,AUT,1994,20.302
Austria,AUT,1995,21.144
Austria,AUT,1996,22.437
Austria,AUT,1997,21.192
Austria,AUT,1998,21.422
Austria,AUT,1999,21.418
Austria,AUT,2000,20.382
Austria,AUT,2001,20.825
Austria,AUT,2002,20.429
Austria,AUT,2003,22.182
Austria,AUT,2004,22.027
Austria,AUT,2005,22.803
Austria,AUT,2006,21.673
Austria,AUT,2007,20.993
Austria,AUT,2008,22.035
Austria,AUT,2009,22.211
Austria,AUT,2010,23.383
Austria,AUT,2011,23.487
Austria,AUT,2012,21.357
Austria,AUT,2013,20.441
Austria,AUT,2014,19.535
Austria,AUT,2015,20.692
Austria,AUT,2016,20.969
Austria,AUT,2017,22.266
Austria,AUT,2018,21.758
Austria,AUT,2019,21.363
Azerbaijan,AZE,1985,56.545
Azerbaijan,AZE,1986,58.36
Azerbaijan,AZE,1987,59.479
Azerbaijan,AZE,1988,58.687
Azerbaijan,AZE,1989,60.466
Azerbaijan,AZE,1990,59.218
Azerbaijan,AZE,1991,58.98
Azerbaijan,AZE,1992,53.57
Azerbaijan,AZE,1993,45.618
Azerbaijan,AZE,1994,46.43
Azerbaijan,AZE,1995,48.806
Azerbaijan,AZE,1996,43.614
Azerbaijan,AZE,1997,43.39
Azerbaijan,AZE,1998,40.345
Azerbaijan,AZE,1999,43.397
Azerbaijan,AZE,2000,40.179
Azerbaijan,AZE,2001,59.782
Azerbaijan,AZE,2002,60.719
Azerbaijan,AZE,2003,57.56
Azerbaijan,AZE,2004,59.521
Azerbaijan,AZE,2005,56.711
Azerbaijan,AZE,2006,60.929
Azerbaijan,AZE,2007,59.302
Azerbaijan,AZE,2008,67.194
Azerbaijan,AZE,2009,64.942
Azerbaijan,AZE,2010,62.587
Azerbaijan,AZE,2011,61.614
Azerbaijan,AZE,2012,62.762
Azerbaijan,AZE,2013,61.314
Azerbaijan,AZE,2014,63.007
Azerbaijan,AZE,2015,65.185
Azerbaijan,AZE,2016,64.545
Azerbaijan,AZE,2017,63.906
Azerbaijan,AZE,2018,63.27
Azerbaijan,AZE,2019,64.724
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,27.669
Bangladesh,BGD,1973,30.997
Bangladesh,BGD,1974,32.979
Bangladesh,BGD,1975,29.204
Bangladesh,BGD,1976,33.515
Bangladesh,BGD,1977,36.421
Bangladesh,BGD,1978,37.299
Bangladesh,BGD,1979,38.741
Bangladesh,BGD,1980,38.71
Bangladesh,BGD,1981,37.067
Bangladesh,BGD,1982,43.59
Bangladesh,BGD,1983,49.08
Bangladesh,BGD,1984,52.449
Bangladesh,BGD,1985,53.551
Bangladesh,BGD,1986,55.418
Bangladesh,BGD,1987,58.999
Bangladesh,BGD,1988,62.37
Bangladesh,BGD,1989,61.194
Bangladesh,BGD,1990,62.067
Bangladesh,BGD,1991,66.251
Bangladesh,BGD,1992,66.226
Bangladesh,BGD,1993,67.391
Bangladesh,BGD,1994,67.359
Bangladesh,BGD,1995,62.988
Bangladesh,BGD,1996,64.571
Bangladesh,BGD,1997,60.404
Bangladesh,BGD,1998,61.293
Bangladesh,BGD,1999,66.072
Bangladesh,BGD,2000,66.611
Bangladesh,BGD,2001,65.268
Bangladesh,BGD,2002,66.537
Bangladesh,BGD,2003,67.525
Bangladesh,BGD,2004,70.181
Bangladesh,BGD,2005,69.944
Bangladesh,BGD,2006,69.908
Bangladesh,BGD,2007,72.929
Bangladesh,BGD,2008,73.606
Bangladesh,BGD,2009,76.646
Bangladesh,BGD,2010,76.889
Bangladesh,BGD,2011,71.964
Bangladesh,BGD,2012,73.241
Bangladesh,BGD,2013,73.133
Bangladesh,BGD,2014,73.572
Bangladesh,BGD,2015,70.249
Bangladesh,BGD,2016,70.902
Bangladesh,BGD,2017,68.747
Bangladesh,BGD,2018,66.628
Bangladesh,BGD,2019,70.346
Belarus,BLR,1985,21.207
Belarus,BLR,1986,18.931
Belarus,BLR,1987,21.062
Belarus,BLR,1988,24.043
Belarus,BLR,1989,26.179
Belarus,BLR,1990,29.09
Belarus,BLR,1991,30.778
Belarus,BLR,1992,37.777
Belarus,BLR,1993,43.764
Belarus,BLR,1994,45.911
Belarus,BLR,1995,45.748
Belarus,BLR,1996,46.987
Belarus,BLR,1997,53.213
Belarus,BLR,1998,55.063
Belarus,BLR,1999,57.623
Belarus,BLR,2000,59.49
Belarus,BLR,2001,60.677
Belarus,BLR,2002,60.625
Belarus,BLR,2003,59.87
Belarus,BLR,2004,64.472
Belarus,BLR,2005,66.338
Belarus,BLR,2006,63.742
Belarus,BLR,2007,65.533
Belarus,BLR,2008,66.333
Belarus,BLR,2009,59.41
Belarus,BLR,2010,68.498
Belarus,BLR,2011,63.894
Belarus,BLR,2012,59.697
Belarus,BLR,2013,67.206
Belarus,BLR,2014,64.592
Belarus,BLR,2015,66.539
Belarus,BLR,2016,66.48
Belarus,BLR,2017,66.69
Belarus,BLR,2018,66.323
Belarus,BLR,2019,65.571
Belgium,BEL,1965,0.178
Belgium,BEL,1966,0.333
Belgium,BEL,1967,1.211
Belgium,BEL,1968,2.643
Belgium,BEL,1969,4.961
Belgium,BEL,1970,7.368
Belgium,BEL,1971,10.356
Belgium,BEL,1972,12.282
Belgium,BEL,1973,14.568
Belgium,BEL,1974,17.679
Belgium,BEL,1975,18.587
Belgium,BEL,1976,18.511
Belgium,BEL,1977,18.185
Belgium,BEL,1978,17.275
Belgium,BEL,1979,18.342
Belgium,BEL,1980,18.336
Belgium,BEL,1981,17.788
Belgium,BEL,1982,15.507
Belgium,BEL,1983,16.646
Belgium,BEL,1984,16.441
Belgium,BEL,1985,15.835
Belgium,BEL,1986,13.785
Belgium,BEL,1987,14.759
Belgium,BEL,1988,14.282
Belgium,BEL,1989,15.751
Belgium,BEL,1990,15.255
Belgium,BEL,1991,15.73
Belgium,BEL,1992,16.27
Belgium,BEL,1993,17.302
Belgium,BEL,1994,16.761
Belgium,BEL,1995,18.378
Belgium,BEL,1996,19.216
Belgium,BEL,1997,18.163
Belgium,BEL,1998,19.504
Belgium,BEL,1999,21.001
Belgium,BEL,2000,20.642
Belgium,BEL,2001,20.558
Belgium,BEL,2002,21.309
Belgium,BEL,2003,21.874
Belgium,BEL,2004,22.215
Belgium,BEL,2005,22.089
Belgium,BEL,2006,22.689
Belgium,BEL,2007,22.721
Belgium,BEL,2008,22.187
Belgium,BEL,2009,23.984
Belgium,BEL,2010,24.872
Belgium,BEL,2011,22.725
Belgium,BEL,2012,23.955
Belgium,BEL,2013,23.065
Belgium,BEL,2014,21.654
Belgium,BEL,2015,23.394
Belgium,BEL,2016,22.183
Belgium,BEL,2017,22.232
Belgium,BEL,2018,23.467
Belgium,BEL,2019,23.069
Brazil,BRA,1965,0.191
Brazil,BRA,1966,0.204
Brazil,BRA,1967,0.223
Brazil,BRA,1968,0.206
Brazil,BRA,1969,0.199
Brazil,BRA,1970,0.184
Brazil,BRA,1971,0.265
Brazil,BRA,1972,0.316
Brazil,BRA,1973,0.303
Brazil,BRA,1974,0.534
Brazil,BRA,1975,0.55
Brazil,BRA,1976,0.577
Brazil,BRA,1977,0.673
Brazil,BRA,1978,0.804
Brazil,BRA,1979,0.813
Brazil,BRA,1980,0.932
Brazil,BRA,1981,0.858
Brazil,BRA,1982,1.168
Brazil,BRA,1983,1.548
Brazil,BRA,1984,1.679
Brazil,BRA,1985,1.977
Brazil,BRA,1986,2.161
Brazil,BRA,1987,2.342
Brazil,BRA,1988,2.271
Brazil,BRA,1989,2.282
Brazil,BRA,1990,2.113
Brazil,BRA,1991,2.115
Brazil,BRA,1992,2.289
Brazil,BRA,1993,2.567
Brazil,BRA,1994,2.667
Brazil,BRA,1995,2.804
Brazil,BRA,1996,2.926
Brazil,BRA,1997,3.008
Brazil,BRA,1998,3.041
Brazil,BRA,1999,3.545
Brazil,BRA,2000,4.344
Brazil,BRA,2001,5.61
Brazil,BRA,2002,6.475
Brazil,BRA,2003,7.122
Brazil,BRA,2004,8.075
Brazil,BRA,2005,8.18
Brazil,BRA,2006,8.394
Brazil,BRA,2007,8.146
Brazil,BRA,2008,9.183
Brazil,BRA,2009,7.457
Brazil,BRA,2010,9.041
Brazil,BRA,2011,8.616
Brazil,BRA,2012,10.034
Brazil,BRA,2013,11.391
Brazil,BRA,2014,11.802
Brazil,BRA,2015,12.635
Brazil,BRA,2016,11.202
Brazil,BRA,2017,11.23
Brazil,BRA,2018,10.648
Brazil,BRA,2019,10.393
Bulgaria,BGR,1965,0.471
Bulgaria,BGR,1966,0.655
Bulgaria,BGR,1967,1.715
Bulgaria,BGR,1968,2.346
Bulgaria,BGR,1969,2.19
Bulgaria,BGR,1970,1.757
Bulgaria,BGR,1971,1.322
Bulgaria,BGR,1972,0.865
Bulgaria,BGR,1973,0.839
Bulgaria,BGR,1974,1.776
Bulgaria,BGR,1975,4.268
Bulgaria,BGR,1976,7.053
Bulgaria,BGR,1977,8.543
Bulgaria,BGR,1978,8.798
Bulgaria,BGR,1979,9.07
Bulgaria,BGR,1980,11.044
Bulgaria,BGR,1981,12.2
Bulgaria,BGR,1982,13.176
Bulgaria,BGR,1983,13.758
Bulgaria,BGR,1984,14.55
Bulgaria,BGR,1985,15.984
Bulgaria,BGR,1986,15.558
Bulgaria,BGR,1987,17.219
Bulgaria,BGR,1988,16.355
Bulgaria,BGR,1989,16.981
Bulgaria,BGR,1990,19.523
Bulgaria,BGR,1991,20.304
Bulgaria,BGR,1992,19.154
Bulgaria,BGR,1993,16.767
Bulgaria,BGR,1994,17.431
Bulgaria,BGR,1995,19.598
Bulgaria,BGR,1996,20.029
Bulgaria,BGR,1997,16.919
Bulgaria,BGR,1998,14.733
Bulgaria,BGR,1999,14.585
Bulgaria,BGR,2000,15.792
Bulgaria,BGR,2001,12.735
Bulgaria,BGR,2002,11.62
Bulgaria,BGR,2003,11.923
Bulgaria,BGR,2004,12.015
Bulgaria,BGR,2005,13.859
Bulgaria,BGR,2006,13.942
Bulgaria,BGR,2007,14.505
Bulgaria,BGR,2008,14.744
Bulgaria,BGR,2009,12.018
Bulgaria,BGR,2010,12.728
Bulgaria,BGR,2011,13.698
Bulgaria,BGR,2012,13.434
Bulgaria,BGR,2013,14.034
Bulgaria,BGR,2014,13.1
Bulgaria,BGR,2015,13.498
Bulgaria,BGR,2016,14.849
Bulgaria,BGR,2017,14.941
Bulgaria,BGR,2018,14.086
Bulgaria,BGR,2019,13.64
Canada,CAN,1965,15.841
Canada,CAN,1966,16.301
Canada,CAN,1967,16.549
Canada,CAN,1968,17.304
Canada,CAN,1969,18.244
Canada,CAN,1970,18.821
Canada,CAN,1971,19.479
Canada,CAN,1972,20.369
Canada,CAN,1973,20.259
Canada,CAN,1974,19.867
Canada,CAN,1975,20.886
Canada,CAN,1976,19.863
Canada,CAN,1977,19.677
Canada,CAN,1978,19.606
Canada,CAN,1979,19.324
Canada,CAN,1980,18.817
Canada,CAN,1981,18.47
Canada,CAN,1982,20.244
Canada,CAN,1983,19.438
Canada,CAN,1984,20.26
Canada,CAN,1985,20.596
Canada,CAN,1986,19.771
Canada,CAN,1987,19.346
Canada,CAN,1988,20.456
Canada,CAN,1989,21.895
Canada,CAN,1990,21.615
Canada,CAN,1991,21.721
Canada,CAN,1992,22.465
Canada,CAN,1993,23.316
Canada,CAN,1994,23.275
Canada,CAN,1995,23.55
Canada,CAN,1996,23.303
Canada,CAN,1997,23.58
Canada,CAN,1998,23.507
Canada,CAN,1999,24.353
Canada,CAN,2000,25.077
Canada,CAN,2001,24.209
Canada,CAN,2002,24.444
Canada,CAN,2003,24.981
Canada,CAN,2004,24.148
Canada,CAN,2005,23.556
Canada,CAN,2006,23.506
Canada,CAN,2007,24.213
Canada,CAN,2008,23.89
Canada,CAN,2009,24.469
Canada,CAN,2010,24.435
Canada,CAN,2011,25.807
Canada,CAN,2012,25.983
Canada,CAN,2013,27.039
Canada,CAN,2014,28.117
Canada,CAN,2015,28.235
Canada,CAN,2016,27.429
Canada,CAN,2017,27.893
Canada,CAN,2018,29.674
Canada,CAN,2019,30.472
Chile,CHL,1965,8.543
Chile,CHL,1966,8.321
Chile,CHL,1967,7.234
Chile,CHL,1968,6.198
Chile,CHL,1969,7.574
Chile,CHL,1970,7.165
Chile,CHL,1971,6.759
Chile,CHL,1972,5.96
Chile,CHL,1973,4.867
Chile,CHL,1974,5.126
Chile,CHL,1975,6.456
Chile,CHL,1976,6.705
Chile,CHL,1977,6.653
Chile,CHL,1978,5.869
Chile,CHL,1979,6.722
Chile,CHL,1980,6.667
Chile,CHL,1981,6.398
Chile,CHL,1982,7.238
Chile,CHL,1983,7.603
Chile,CHL,1984,7.432
Chile,CHL,1985,7.32
Chile,CHL,1986,6.408
Chile,CHL,1987,5.926
Chile,CHL,1988,7.459
Chile,CHL,1989,10.547
Chile,CHL,1990,10.75
Chile,CHL,1991,11.3
Chile,CHL,1992,11.425
Chile,CHL,1993,11.188
Chile,CHL,1994,10.267
Chile,CHL,1995,9.128
Chile,CHL,1996,8.743
Chile,CHL,1997,10.399
Chile,CHL,1998,14.299
Chile,CHL,1999,18.729
Chile,CHL,2000,22.87
Chile,CHL,2001,25.749
Chile,CHL,2002,25.09
Chile,CHL,2003,27.3
Chile,CHL,2004,28.198
Chile,CHL,2005,26.251
Chile,CHL,2006,22.75
Chile,CHL,2007,13.125
Chile,CHL,2008,7.37
Chile,CHL,2009,7.607
Chile,CHL,2010,15.554
Chile,CHL,2011,14.547
Chile,CHL,2012,12.925
Chile,CHL,2013,12.826
Chile,CHL,2014,10.828
Chile,CHL,2015,11.615
Chile,CHL,2016,13.576
Chile,CHL,2017,12.794
Chile,CHL,2018,13.904
Chile,CHL,2019,14.091
China,CHN,1965,0.724
China,CHN,1966,0.811
China,CHN,1967,0.983
China,CHN,1968,0.933
China,CHN,1969,1.073
China,CHN,1970,1.227
China,CHN,1971,1.349
China,CHN,1972,1.619
China,CHN,1973,1.895
China,CHN,1974,2.314
China,CHN,1975,2.429
China,CHN,1976,2.632
China,CHN,1977,2.897
China,CHN,1978,2.992
China,CHN,1979,3.07
China,CHN,1980,2.962
China,CHN,1981,2.68
China,CHN,1982,2.403
China,CHN,1983,2.311
China,CHN,1984,2.193
China,CHN,1985,2.109
China,CHN,1986,2.142
China,CHN,1987,2.005
China,CHN,1988,1.916
China,CHN,1989,1.927
China,CHN,1990,1.934
China,CHN,1991,1.864
China,CHN,1992,1.804
China,CHN,1993,1.779
China,CHN,1994,1.755
China,CHN,1995,1.721
China,CHN,1996,1.714
China,CHN,1997,1.801
China,CHN,1998,1.854
China,CHN,1999,1.901
China,CHN,2000,2.094
China,CHN,2001,2.219
China,CHN,2002,2.168
China,CHN,2003,2.163
China,CHN,2004,2.163
China,CHN,2005,2.237
China,CHN,2006,2.51
China,CHN,2007,2.84
China,CHN,2008,3.156
China,CHN,2009,3.331
China,CHN,2010,3.758
China,CHN,2011,4.324
China,CHN,2012,4.641
China,CHN,2013,5.098
China,CHN,2014,5.46
China,CHN,2015,5.59
China,CHN,2016,5.939
China,CHN,2017,6.616
China,CHN,2018,7.504
China,CHN,2019,7.808
Colombia,COL,1965,10.142
Colombia,COL,1966,9.708
Colombia,COL,1967,11.281
Colombia,COL,1968,10.913
Colombia,COL,1969,11.715
Colombia,COL,1970,10.437
Colombia,COL,1971,11.053
Colombia,COL,1972,12.02
Colombia,COL,1973,12.473
Colombia,COL,1974,11.581
Colombia,COL,1975,10.696
Colombia,COL,1976,10.943
Colombia,COL,1977,11.975
Colombia,COL,1978,13.867
Colombia,COL,1979,14.077
Colombia,COL,1980,15.267
Colombia,COL,1981,16.102
Colombia,COL,1982,16.603
Colombia,COL,1983,17.485
Colombia,COL,1984,16.913
Colombia,COL,1985,16.325
Colombia,COL,1986,16.086
Colombia,COL,1987,15.021
Colombia,COL,1988,15.067
Colombia,COL,1989,13.668
Colombia,COL,1990,15.166
Colombia,COL,1991,15.056
Colombia,COL,1992,14.164
Colombia,COL,1993,13.357
Colombia,COL,1994,12.308
Colombia,COL,1995,12.89
Colombia,COL,1996,13.667
Colombia,COL,1997,16.705
Colombia,COL,1998,19.285
Colombia,COL,1999,18.009
Colombia,COL,2000,18.626
Colombia,COL,2001,19.601
Colombia,COL,2002,19.871
Colombia,COL,2003,18.399
Colombia,COL,2004,19.29
Colombia,COL,2005,20.229
Colombia,COL,2006,18.936
Colombia,COL,2007,19.978
Colombia,COL,2008,18.788
Colombia,COL,2009,22.688
Colombia,COL,2010,22.122
Colombia,COL,2011,20.598
Colombia,COL,2012,21.398
Colombia,COL,2013,23.362
Colombia,COL,2014,24.076
Colombia,COL,2015,23.576
Colombia,COL,2016,24.1
Colombia,COL,2017,24.205
Colombia,COL,2018,25.673
Colombia,COL,2019,25.157
Croatia,HRV,1990,25.581
Croatia,HRV,1991,28.22
Croatia,HRV,1992,30.725
Croatia,HRV,1993,31.098
Croatia,HRV,1994,29.014
Croatia,HRV,1995,25.911
Croatia,HRV,1996,27.154
Croatia,HRV,1997,28.306
Croatia,HRV,1998,25.725
Croatia,HRV,1999,25.271
Croatia,HRV,2000,26.936
Croatia,HRV,2001,26.861
Croatia,HRV,2002,27.406
Croatia,HRV,2003,26.008
Croatia,HRV,2004,26.022
Croatia,HRV,2005,25.433
Croatia,HRV,2006,25.449
Croatia,HRV,2007,29.013
Croatia,HRV,2008,28.326
Croatia,HRV,2009,26.561
Croatia,HRV,2010,28.696
Croatia,HRV,2011,31.954
Croatia,HRV,2012,32.379
Croatia,HRV,2013,28.088
Croatia,HRV,2014,24.905
Croatia,HRV,2015,27.004
Croatia,HRV,2016,27.099
Croatia,HRV,2017,31.06
Croatia,HRV,2018,28.833
Croatia,HRV,2019,31.175
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0
Cyprus,CYP,2005,0
Cyprus,CYP,2006,0
Cyprus,CYP,2007,0
Cyprus,CYP,2008,0
Cyprus,CYP,2009,0
Cyprus,CYP,2010,0
Cyprus,CYP,2011,0
Cyprus,CYP,2012,0
Cyprus,CYP,2013,0
Cyprus,CYP,2014,0
Cyprus,CYP,2015,0
Cyprus,CYP,2016,0
Cyprus,CYP,2017,0
Cyprus,CYP,2018,0
Cyprus,CYP,2019,0
Czechia,CZE,1965,0.916
Czechia,CZE,1966,0.952
Czechia,CZE,1967,1.161
Czechia,CZE,1968,1.372
Czechia,CZE,1969,1.443
Czechia,CZE,1970,1.522
Czechia,CZE,1971,1.799
Czechia,CZE,1972,1.942
Czechia,CZE,1973,2.12
Czechia,CZE,1974,2.558
Czechia,CZE,1975,2.814
Czechia,CZE,1976,3.022
Czechia,CZE,1977,3.325
Czechia,CZE,1978,3.674
Czechia,CZE,1979,4.08
Czechia,CZE,1980,4.853
Czechia,CZE,1981,4.905
Czechia,CZE,1982,5.257
Czechia,CZE,1983,6.158
Czechia,CZE,1984,6.343
Czechia,CZE,1985,7.775
Czechia,CZE,1986,8.128
Czechia,CZE,1987,8.672
Czechia,CZE,1988,8.689
Czechia,CZE,1989,9.251
Czechia,CZE,1990,11.182
Czechia,CZE,1991,11.856
Czechia,CZE,1992,13.994
Czechia,CZE,1993,14.42
Czechia,CZE,1994,14.47
Czechia,CZE,1995,15.712
Czechia,CZE,1996,17.479
Czechia,CZE,1997,18.54
Czechia,CZE,1998,19.14
